,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family,col_single,col_family,ds_single,ds_family
24,North Carolina,Charlotte,"Data Scientist, IT",82500.0,82.09741579159312,32.96130973164237,75.35043177412484,62.563640377323956,1606.9255582551687,4679.117583817113,821.1618132134333,1539.041010448252,177.48679138643033,887.4214442040762,599.6613411880177,1782.1884123216005,2428.087371468602,6218.1585942653655,4446.912628531398,656.8414057346345
25,North Carolina,Raleigh,"Data Scientist, IT",90141.22,78.48358494336294,32.978483916084954,69.74550255958435,80.26645012142455,1536.19060153042,4473.148378771488,821.5896719530328,1539.8429134792095,227.70789234946932,1138.5234084573224,555.0556330199402,1649.6206265392889,2357.780273483453,6012.991292250697,5153.98805984988,1498.777041082636
26,New York,New York,"Data Scientist, IT",99199.95,86.2982826383532,60.012261670688936,89.3453611989042,93.51058682578838,1689.1508053935424,4918.544729488149,1495.0794737757064,2802.113526219393,265.28018376607906,1326.3822167130302,711.0371880292394,2113.1964830764823,3184.230279169249,7720.658255707542,5082.432220830751,546.0042442924587
27,Ohio,Cincinnati,"Data Scientist, IT",77425.48,65.57817944439138,28.061898786322804,69.33763409779569,79.06593020745284,1283.5879375368502,3737.608663979254,699.1032782737814,1310.2759997955598,224.30213740552296,1121.4948738415733,551.8096934404874,1639.9737216810634,1982.6912158106315,5047.884663774814,4469.432117522701,1404.2386695585192
28,Ohio,Cleveland,"Data Scientist, IT",65597.65,77.21736586522466,20.844566888518642,73.1959530305332,70.44012913320458,1511.4063890263883,4400.980602278721,519.2986104369761,973.2818127571236,199.83160233798807,999.1439236641137,582.5153530028924,1731.230681078171,2030.7049994633644,5374.262415035844,3435.7658338699684,92.2084182974886
29,Oregon,Portland,"Data Scientist, IT",75000.0,74.66145953437595,39.2312912522825,74.42508867739515,66.74340781090521,1461.3786120501543,4255.307487723897,977.3652358389887,1831.8011821035132,189.34437361875698,946.7085194122228,592.297183221314,1760.3021973977502,2438.743847889143,6087.10866982741,3811.256152110857,162.89133017258973
30,Pennsylvania,Philadelphia,"Data Scientist, IT",88497.18,78.29918024004368,42.82978973812878,81.20000237637616,78.18365334909453,1532.581174510471,4462.638288027219,1067.0142687670286,1999.8235328791177,221.79920618604626,1108.9803941995615,646.2139789119144,1920.5424562060487,2599.5954432774997,6462.4618209063365,4775.1695567225,912.303179093663
31,Texas,Austin,"Data Scientist, IT",82171.52,68.40571837101248,36.04775704764319,72.45797654460362,64.66943952794364,1338.9324879631756,3898.763396840345,898.05416655223,1683.1544887835225,183.4607329968233,917.2907310962111,576.6423147349191,1713.7760612329646,2236.9866545154055,5581.917885623868,4610.6400121512615,1265.7087810427993
32,Texas,Dallas,"Data Scientist, IT",77669.8,68.48808098308668,32.73357625347288,68.87008120951425,65.83356454412814,1340.5446043143486,3903.4576292067304,815.4883118451446,1528.4075991788447,186.76323925523712,933.8030295632768,548.0887672896773,1628.915160767431,2156.032916159493,5431.865228385575,4316.450417173841,1040.6181049477582
33,Texas,Houston,"Data Scientist, IT",91116.75,85.96643772578652,41.244471817361564,79.02270877609203,73.65761766832092,1682.6554721819098,4899.631328249885,1027.519401938747,1925.8013136613827,208.95929556325964,1044.7817462927646,628.8864232527733,1869.0451079721286,2710.1748741206566,6825.432641911268,4882.887625879343,767.6298580887324
34,Tennessee,Nashville,"Data Scientist, IT",68261.47,74.54075164641509,34.91922472332651,71.87379271180336,64.38572692247135,1459.0159482759411,4248.427777861934,869.939153609761,1630.4606625102147,182.65586870635897,913.2664663864105,571.9932045383447,1699.958945219573,2328.955101885702,5878.8884403721495,3359.5007314476316,-190.43260703881606
35,Texas,Plano,"Data Scientist, IT",85000.0,70.20012337269857,32.47284539170281,70.42897528570087,65.53193912409401,1374.0550948231783,4001.034971589944,808.9927499589529,1516.233462525275,185.90755810114229,929.5246841178866,560.4949140161932,1665.7861234573968,2183.047844782131,5517.268434115219,4900.285488551202,1566.064899218114
